City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,happy valley-goose bay,53.3168,-60.3315,288.32,47,75,2.06,CA,2023-06-13 02:34:46
155,chos malal,-37.3781,-70.2709,277.49,32,0,0.08,AR,2023-06-13 02:35:35
156,evanston,42.0411,-87.6901,290.9,57,100,6.69,US,2023-06-13 02:36:26
157,moroto,2.5345,34.6666,291.54,80,80,1.53,UG,2023-06-13 02:36:26
158,kargasok,59.0556,80.8572,283.25,50,59,5.19,RU,2023-06-13 02:34:52
159,thunder bay,48.4001,-89.3168,289.14,55,75,1.54,CA,2023-06-13 02:34:07
160,midvagur,62.0511,-7.1939,279.61,87,100,0.0,FO,2023-06-13 02:29:26
161,nizhneudinsk,54.9076,99.0276,284.57,91,100,0.91,RU,2023-06-13 02:36:26
162,filey,54.21,-0.2892,287.47,89,7,1.34,GB,2023-06-13 02:34:35
163,kirakira,-10.4544,161.9205,302.2,76,23,3.28,SB,2023-06-13 02:30:03
164,tame,6.461,-71.73,295.47,86,75,1.56,CO,2023-06-13 02:36:27
165,ginir,7.1333,40.7,287.06,82,84,2.31,ET,2023-06-13 02:36:27
166,abeche,13.8292,20.8324,299.82,61,81,3.43,TD,2023-06-13 02:36:27
167,alesund,62.4723,6.1549,288.1,79,100,0.51,NO,2023-06-13 02:36:27
168,charters towers,-20.1,146.2667,299.6,42,6,2.34,AU,2023-06-13 02:36:27
169,howard springs,-12.497,131.047,303.61,26,100,4.74,AU,2023-06-13 02:34:27
170,lazaro cardenas,17.9583,-102.2,300.26,78,1,3.37,MX,2023-06-13 02:34:27
171,dezhou,37.4486,116.2925,304.42,25,5,4.05,CN,2023-06-13 02:36:27
172,lavelanet,42.9313,1.8466,287.85,90,70,2.16,FR,2023-06-13 02:36:27
173,say,13.1007,2.3689,300.46,68,99,2.48,NE,2023-06-13 02:36:28
174,san patricio,28.017,-97.5169,301.57,86,54,5.99,US,2023-06-13 02:34:20
175,wakkanai,45.4094,141.6739,289.14,100,75,2.57,JP,2023-06-13 02:36:28
176,acarau,-2.8856,-40.12,298.11,86,0,4.82,BR,2023-06-13 02:34:56
177,as sulayyil,20.4607,45.5779,304.29,18,100,6.01,SA,2023-06-13 02:29:28
178,mount pearl,47.5166,-52.7813,280.9,95,100,7.2,CA,2023-06-13 02:34:22
179,jayapura,-2.5333,140.7,302.81,96,99,2.66,ID,2023-06-13 02:29:44
180,saipan,15.1355,145.701,304.54,100,40,5.66,MP,2023-06-13 02:34:11
181,xilin hot,43.9667,116.0333,297.94,30,4,4.54,CN,2023-06-13 02:36:28
182,bousso,10.4795,16.7117,299.49,71,100,1.75,TD,2023-06-13 02:36:29
183,lata,40.1629,-8.3327,291.52,98,99,1.72,PT,2023-06-13 02:34:30
184,pacasmayo,-7.4006,-79.5714,294.61,82,2,6.71,PE,2023-06-13 02:34:53
185,nemuro,43.3236,145.575,285.12,97,100,5.12,JP,2023-06-13 02:30:41
